timestamp(ms),RawRoll,FilteredRoll,RawPitch,FilteredPitch,
"1763781616.208",,,,"-4.29",
"1763781616.213","-0.46",,,,
"1763781616.216",,"-1.87","-4.58",,
"1763781616.218",,,,"-4.29",
"1763781616.222","-0.46",,,,
"1763781616.225",,"-1.87","-4.66",,
"1763781616.227",,,,"-4.3",
"1763781616.232","-0.45",,,,
"1763781616.234",,"-1.87","-4.51",,
"1763781616.237",,,,"-4.29",
"1763781616.241","-0.49",,,,
"1763781616.244",,"-1.88","-4.63",,
"1763781616.246",,,,"-4.29",
"1763781616.251","-0.43",,,,
"1763781616.253",,"-1.88","-4.62",,
"1763781616.255",,,,"-4.3",
"1763781616.26","-0.35",,,,
"1763781616.263",,"-1.87","-4.74",,
"1763781616.265",,,,"-4.3",
"1763781616.269","-0.32",,,,
"1763781616.272",,"-1.87","-4.58",,
"1763781616.274",,,,"-4.3",
"1763781616.279","-0.38",,,,
"1763781616.282",,"-1.87","-4.59",,
"1763781616.284",,,,"-4.3",
"1763781616.288","-0.38",,,,
"1763781616.291",,"-1.87","-4.5",,
"1763781616.293",,,,"-4.29",
"1763781616.298","-0.43",,,,
"1763781616.3",,"-1.87","-4.64",,
"1763781616.303",,,,"-4.3",
"1763781616.307","-0.42",,,,
"1763781616.31",,"-1.87","-4.52",,
"1763781616.312",,,,"-4.3",
"1763781616.316","-0.5",,,,
"1763781616.319",,"-1.88","-4.65",,
"1763781616.322",,,,"-4.3",
"1763781616.326","-0.24",,,,
"1763781616.329",,"-1.87","-4.59",,
"1763781616.331",,,,"-4.3",
"1763781616.335","-0.34",,,,
"1763781616.338",,"-1.87","-4.7",,
"1763781616.34",,,,"-4.3",
"1763781616.345","-0.48",,,,
"1763781616.347",,"-1.87","-4.69",,
"1763781616.35",,,,"-4.3",
"1763781616.354","-0.46",,,,
"1763781616.357",,"-1.87","-4.72",,
"1763781616.359",,,,"-4.3",
"1763781616.364","-0.42",,,,
"1763781616.366",,"-1.87","-4.5",,
"1763781616.368",,,,"-4.3",
"1763781616.373","-0.5",,,,
"1763781616.376",,"-1.88","-4.54",,
"1763781616.378",,,,"-4.3",
"1763781616.382","-0.46",,,,
"1763781616.385",,"-1.88","-4.55",,
"1763781616.387",,,,"-4.3",
"1763781616.392","-0.43",,,,
"1763781616.395",,"-1.88","-4.58",,
"1763781616.397",,,,"-4.3",
"1763781616.401","-0.35",,,,
"1763781616.404",,"-1.88","-4.57",,
"1763781616.406",,,,"-4.3",
"1763781616.411","-0.39",,,,
"1763781616.414",,"-1.88","-4.74",,
"1763781616.416",,,,"-4.3",
"1763781616.42","-0.41",,,,
"1763781616.423",,"-1.88","-4.67",,
"1763781616.425",,,,"-4.3",
"1763781616.43","-0.45",,,,
"1763781616.432",,"-1.88","-4.71",,
"1763781616.434",,,,"-4.3",
"1763781616.439","-0.38",,,,
"1763781616.442",,"-1.88","-4.62",,
"1763781616.444",,,,"-4.3",
"1763781616.448","-0.4",,,,
"1763781616.451",,"-1.88","-4.65",,
"1763781616.453",,,,"-4.3",
"1763781616.458","-0.36",,,,
"1763781616.461",,"-1.88","-4.66",,
"1763781616.463",,,,"-4.3",
"1763781616.467","-0.43",,,,
"1763781616.47",,"-1.88","-4.63",,
"1763781616.472",,,,"-4.3",
"1763781616.477","-0.32",,,,
"1763781616.479",,"-1.88","-4.54",,
"1763781616.481",,,,"-4.3",
"1763781616.486","-0.47",,,,
"1763781616.489",,"-1.88","-4.6",,
"1763781616.491",,,,"-4.3",
"1763781616.496","-0.42",,,,
"1763781616.498",,"-1.88","-4.61",,
"1763781616.5",,,,"-4.3",
"1763781616.505","-0.53",,,,
"1763781616.508",,"-1.88","-4.51",,
"1763781616.51",,,,"-4.3",
"1763781616.514","-0.25",,,,
"1763781616.517",,"-1.88","-4.47",,
"1763781616.52",,,,"-4.3",
"1763781616.524","-0.36",,,,
"1763781616.526",,"-1.88","-4.55",,
"1763781616.529",,,,"-4.3",
"1763781616.533","-0.35",,,,
"1763781616.536",,"-1.88","-4.6",,
"1763781616.538",,,,"-4.3",
"1763781616.543","-0.48",,,,
"1763781616.545",,"-1.88","-4.62",,
"1763781616.547",,,,"-4.3",
"1763781616.552","-0.25",,,,
"1763781616.555",,"-1.87","-4.63",,
"1763781616.557",,,,"-4.3",
"1763781616.562","-0.4",,,,
"1763781616.564",,"-1.87","-4.47",,
"1763781616.567",,,,"-4.3",
"1763781616.571","-0.35",,,,
"1763781616.574",,"-1.87","-4.48",,
"1763781616.576",,,,"-4.3",
"1763781616.581","-0.43",,,,
"1763781616.583",,"-1.88","-4.55",,
"1763781616.585",,,,"-4.3",
"1763781616.59","-0.39",,,,
"1763781616.592",,"-1.88",,,
"1763781616.593",,,"-4.66",,
"1763781616.595",,,,"-4.3",
"1763781616.599","-0.5",,,,
"1763781616.602",,"-1.88","-4.61",,
